book_id,book_name,shelf_id,shelf_name,page_id,page_name
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Johnson,"Johnson and Christy 1972: n,k 0.188–1.94 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Choi,"Choi et al. 2020: n,k 1.23–6.99 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-298K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 298 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-404K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 404 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-501K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 501 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-600K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 600 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Jiang,"Jiang et al. 2016: n,k 0.300–2.000 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Yang,"Yang et al. 2015: n,k 0.270–24.9 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,McPeak,"McPeak et al. 2015: n,k 0.3–1.7 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Babar,"Babar and Weaver 2015: n,k 0.207–12.4 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Wu,"Wu et al. 2014: n,k 0.29–1.00 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Werner,"Werner et al. 2009: n,k 0.0176–2.48 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Stahrenberg,"Stahrenberg et al. 2001: n,k 0.128–0.496 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Windt,"Windt et al. 1988: n,k 0.0024–0.122 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Hagemann,"Hagemann et al. 1974: n,k 2.48e-6-248 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ciesielski,"Ciesielski et al. 2017: Ag/SiO2; n,k 0.191–20.9 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ciesielski-Ge,"Ciesielski et al. 2017: Ag/Ge/SiO2; n,k 0.191–20.9 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ciesielski-Ni,"Ciesielski et al. 2017: Ag/Ni/SiO2; n,k 0.191–15.8 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Rakic-BB,"Rakić et al. 1998: Brendel-Bormann model; n,k 0.248–12.4 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Rakic-LD,"Rakić et al. 1998: Lorentz-Drude model; n,k 0.248–12.4 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Werner-DFT,"Werner et al. 2009: DFT calculations; n,k 0.0176–2.48 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Rakic,"Rakić 1995: n,k 0.000124–200 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Cheng,"Cheng et al. 2016: n,k 0.225–1.00 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,McPeak,"McPeak et al. 2015: n,k 0.15–1.7 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Larruquert,"Larruquert et al. 1996: n,k 0.077–0.114 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Ordal,"Ordal et al. 1988: n,k 0.667–200 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Hagemann,"Hagemann et al. 1974: n,k 0.0000103–1240 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Mathewson,"Mathewson and Myers 1971: n,k 0.496–1.77 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Rakic-BB,"Rakić et al. 1998: Brendel-Bormann model; n,k 0.0620–248 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Rakic-LD,"Rakić et al. 1998: Lorentz-Drude model; n,k 0.0620–248 µm"
BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",main,MAIN - simple inorganic materials,Walling-α,Walling et al. 1980: n(α) 0.25–2.6 µm
BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",main,MAIN - simple inorganic materials,Walling-β,Walling et al. 1980: n(β) 0.25–2.6 µm
BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",main,MAIN - simple inorganic materials,Walling-γ,Walling et al. 1980: n(γ) 0.25–2.6 µm
BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",main,MAIN - simple inorganic materials,Pestryakov-α,Pestryakov et al. 1997: n(α) 0.43–1.1 µm
BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",main,MAIN - simple inorganic materials,Pestryakov-β,Pestryakov et al. 1997: n(β) 0.43–1.1 µm
BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",main,MAIN - simple inorganic materials,Pestryakov-γ,Pestryakov et al. 1997: n(γ) 0.43–1.1 µm
CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",main,MAIN - simple inorganic materials,Loiko-o,Loiko et al. 2017: n(o) 0.35–2.1 µm
CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",main,MAIN - simple inorganic materials,Loiko-e,Loiko et al. 2017: n(e) 0.35–2.1 µm
CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",main,MAIN - simple inorganic materials,Loiko-o,Loiko et al. 2017: n(o) 0.35–2.1 µm
CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",main,MAIN - simple inorganic materials,Loiko-e,Loiko et al. 2017: n(e) 0.35–2.1 µm
MgAl2O4,"MgAl<sub>2</sub>O<sub>4</sub> (Magnesium aluminate, spinel)",main,MAIN - simple inorganic materials,Tropf,Tropf and Thomas 1991: n 0.35–5.5 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Bideau-Mehu,Bideau-Mehu et al. 1981: n 0.140–0.568 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Borzsonyi,Börzsönyi et al. 2008: n 0.4–1.0 µm
